GISJOIN,POPULATION
G1300210,154816
G1300230,12746
G1300250,18452
G1300270,15637
G1300290,33151
G1300310,72386
G1300330,23007
G1300350,23445
G1300370,6489
G1300390,51445
G1300430,11031
G1300450,112595
G1300470,65375
G1300490,13130
G1300510,279290
G1300530,11914
G1300550,25241
G1300570,225944
G1300590,120905
G1300610,3104
G1300630,267234
G1300650,6791
G1300670,719133
G1300690,43003
G1300710,46024
G1300730,136204
G1300750,17033
G1300770,133416
G1300790,12539
G1300810,23314
G1300830,16445
G1300850,22673
G1300870,27378
G1300890,716331
G1300910,21180
G1300930,14293
G1300950,93310
G1300970,136520
G1300990,10579
G1301010,4048
G1301030,54630
G1301050,19537
G1301070,22731
G1301090,10814
G1301110,23742
G1301130,108655
G1301150,96169
G1301170,196236
G1301190,22110
G1301210,983903
G1301230,28673
G1301250,3087
G1301270,81743
G1301290,55889
G1301310,25243
G1301330,16331
G1301350,859234
G1301370,43527
G1301390,187916
G1301410,8881
G1301430,28565
G1301450,32776
G1301470,25498
G1301490,11617
G1301510,211512
G1301530,147570
G1301550,9408
G1301570,61420
G1301590,13593
G1301610,14990
G1301630,16374
G1301650,8922
G1301670,9794
G1301690,28738
G1301710,18114
G1301730,10403
G1301750,47886
G1301770,28946
G1301790,64427
G1301810,7720
G1301830,16588
G1301850,113203
G1301870,30921
G1301890,21582
G1301910,14007
G1301930,14045
G1301950,28232
G1301970,8739
G1301990,21297
G1302010,5936
G1302050,22982
G1302070,26915
G1302090,8968
G1302110,17900
G1302130,39401
G1302150,200285
G1302170,102645
G1302190,34400
G1302210,14688
G1302230,147400
G1302250,27086
G1302270,29740
G1302290,18934
G1302310,17812
G1302330,41215
G1302350,11590
G1302370,21247
G1302390,2326
G1302410,16266
G1302430,7315
G1302450,201291
G1302470,86901
G1302490,5074
G1302510,14206
G1302530,8769
G1302550,63873
G1302570,25620
G1302590,5868
G1302610,31429
G1302630,6490
G1302650,1721
G1302670,25302
G1302690,8401
G1302710,16416
G1302730,9213
G1302750,44824
G1302770,40787
G1302790,27210
G1302810,10800
G1302830,6762
G1302850,68867
G1302870,8338
G1302890,8509
G1302910,21725
G1302930,26528
G1302950,68285
G1302970,86201
G1302990,35723
G1303010,5561
G1303030,20785
G1303050,30046
G1303070,2720
G1303090,7956
G1303110,27791
G1303130,103456
G1303150,8972
G1303170,9991
G1303190,9386
G1303210,21156
G1500010,191482
G1500030,984178
G1500050,85
G1500070,69691
G1500090,160863
G1600010,417501
G1600030,3880
G1600050,83604
G1600070,5939
G1600090,9088
G1600110,45407
G1600130,21309
G1600150,6885
G1600170,41066
G1600190,107788
G1600210,10961
G1600230,2653
G1600250,1052
G1600270,198921
G1600290,6808
G1600310,23369
G1600330,901
G1600350,8560
G1600370,4234
G1600390,26175
G1600410,12914
G1600430,12945
G1600450,16731
G1600470,15233
G1600490,16312
G1600510,26792
G1600530,22653
G1600550,145046
G1600570,38339
G1600590,7790
G1600610,3812
G1600630,5260
G1600650,37916
G1600670,20279
G1600690,39779
G1600710,4245
G1600730,11364
G1600750,22700
G1600770,7731
G1600790,12571
G1600810,10285
G1600830,80004
G1600850,9720
G1600870,10025
G1700010,67081
G1700030,7364
G1700050,17313
G1700070,53851
G1700090,6859
G1700110,34115
G1700130,4999
G1700150,14926
G1700170,13254
G1700190,205766
G1700210,34200
G1700230,16159
G1700250,13582
G1700270,37929
G1700290,53037
G1700310,5236393
G1700330,19541
G1700350,10943
G1700370,104345
G1700390,16388
G1700410,19826
G1700430,930412
G1700450,17992
G1700470,6649
G1700490,34332
G1700510,22136
G1700530,13835
G1700550,39694
G1700570,36323
G1700590,5385
G1700610,13502
G1700630,50277
G1700650,8322
G1700670,18738
G1700690,4228
G1700710,7042
G1700730,49883
G1700750,29053
G1700770,59534
G1700790,9635
G1700810,38578
G1700830,22625
G1700850,22397
G1700870,12829
G1700890,524886
G1700910,112221
G1700930,120036
G1700950,52112
G1700970,702898
G1700990,112579
